Reference,Value,Footprint,Internal Part Number,Populated,Distributor,Distributor PN
J3,Raspberry_Pi,lib_fp:Pi_Zero,1-0000432,1,Adafruit,3400
J1,Digitiziers,lib_fp:SAMTEC-SSW-111-02-X-D-RA,1-0000427,1,Digikey,SSW-111-02-T-D-RA-ND
J2,Laser Driver,Pin_Headers:Pin_Header_Angled_1x11_Pitch2.54mm,1-0000422,1,Digikey,SAM1051-11-ND
Q1,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R1,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R5,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q2,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R2,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R6,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q3,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R3,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R7,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q4,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R4,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R8,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q5,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R9,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R13,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q6,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R10,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R14,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q7,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R11,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R15,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q8,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R12,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R16,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q9,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R17,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R21,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q10,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R18,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R22,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q11,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R19,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R23,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
Q12,BSS138,TO_SOT_Packages_SMD:SOT-23,1-0000163,1,Digikey,BSS138CT-ND
R20,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
R24,10k,Resistors_SMD:R_0603_HandSoldering,1-0000010,1,Digikey,P10.0KHTR-ND
