Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-38.60,3.96,-38.60,3.96,-38.60,3.96,B,90,1-0000007
Q1,SOT-23,-52.07,13.36,-52.07,13.36,-52.07,13.36,B,-90,1-0000163
Q2,SOT-23,-57.27,13.36,-57.27,13.36,-57.27,13.36,B,-90,1-0000163
Q3,SOT-23,-62.48,13.36,-62.48,13.36,-62.48,13.36,B,-90,1-0000163
Q4,SOT-23,-67.69,13.36,-67.69,13.36,-67.69,13.36,B,-90,1-0000163
Q5,SOT-23,-72.89,21.61,-72.89,21.61,-72.89,21.61,B,-90,1-0000163
Q6,SOT-23,-67.69,21.61,-67.69,21.61,-67.69,21.61,B,-90,1-0000163
Q7,SOT-23,-62.48,21.61,-62.48,21.61,-62.48,21.61,B,-90,1-0000163
Q8,SOT-23,-41.65,21.61,-41.65,21.61,-41.65,21.61,B,-90,1-0000163
Q9,SOT-23,-36.44,21.61,-36.44,21.61,-36.44,21.61,B,-90,1-0000163
Q10,SOT-23,-46.86,21.61,-46.86,21.61,-46.86,21.61,B,-90,1-0000163
Q11,SOT-23,-57.27,21.61,-57.27,21.61,-57.27,21.61,B,-90,1-0000163
Q12,SOT-23,-52.07,21.61,-52.07,21.61,-52.07,21.61,B,-90,1-0000163
R1,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-22.09,23.90,-22.09,23.90,-22.09,23.90,B,0,1-0000013
R2,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-22.09,21.99,-22.09,21.99,-22.09,21.99,B,0,1-0000013
R3,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-52.07,16.15,-52.07,16.15,-52.07,16.15,B,0,1-0000010
R4,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-57.27,16.15,-57.27,16.15,-57.27,16.15,B,0,1-0000010
R5,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-62.48,16.15,-62.48,16.15,-62.48,16.15,B,0,1-0000010
R6,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-67.69,16.15,-67.69,16.15,-67.69,16.15,B,0,1-0000010
R7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-52.07,10.56,-52.07,10.56,-52.07,10.56,B,180,1-0000010
R8,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-57.27,10.56,-57.27,10.56,-57.27,10.56,B,180,1-0000010
R9,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-62.48,10.56,-62.48,10.56,-62.48,10.56,B,180,1-0000010
R10,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-67.69,10.56,-67.69,10.56,-67.69,10.56,B,180,1-0000010
R11,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-72.89,24.40,-72.89,24.40,-72.89,24.40,B,0,1-0000010
R12,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-67.69,24.40,-67.69,24.40,-67.69,24.40,B,0,1-0000010
R13,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-62.48,24.40,-62.48,24.40,-62.48,24.40,B,0,1-0000010
R14,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-41.65,24.40,-41.65,24.40,-41.65,24.40,B,0,1-0000010
R15,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-72.89,18.82,-72.89,18.82,-72.89,18.82,B,180,1-0000010
R16,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-67.69,18.82,-67.69,18.82,-67.69,18.82,B,180,1-0000010
R17,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-62.48,18.82,-62.48,18.82,-62.48,18.82,B,180,1-0000010
R18,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-41.65,18.82,-41.65,18.82,-41.65,18.82,B,180,1-0000010
R19,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-36.44,24.40,-36.44,24.40,-36.44,24.40,B,0,1-0000010
R20,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-46.86,24.40,-46.86,24.40,-46.86,24.40,B,0,1-0000010
R21,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-57.27,24.40,-57.27,24.40,-57.27,24.40,B,0,1-0000010
R22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-52.07,24.40,-52.07,24.40,-52.07,24.40,B,0,1-0000010
R23,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-36.44,18.82,-36.44,18.82,-36.44,18.82,B,180,1-0000010
R24,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-46.86,18.82,-46.86,18.82,-46.86,18.82,B,180,1-0000010
R25,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-57.27,18.82,-57.27,18.82,-57.27,18.82,B,180,1-0000010
R26,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,-52.07,18.82,-52.07,18.82,-52.07,18.82,B,180,1-0000010
