Reference, Value, Footprint, Datasheet, Internal Part Number, Populated
"J1","Input","lib_fp:SAMTEC-TSW-111-08-X-S-RA","~","1-0000422","1"
"J2","Output","lib_fp:SAMTEC-TSW-111-08-X-S-RA","~","1-0000422","1"
"H1","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0"
"H2","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0"
"H3","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0"
"H4","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0"
"U1","MLD203CLNE","lib_fp:MLD203CLN","","1-0000712","1"
"RV1","100k","lib_fp:3266W","~","1-0000430","1"
"TP1","TestPoint","lib_fp:5006_TestPoint","~","0-0000000","0"
"TP2","TestPoint","lib_fp:5006_TestPoint","~","0-0000000","0"
