Reference, Value, Footprint, Datasheet, Internal Part Number, Populated, PValue
"JP1","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"JP2","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"JP3","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"JP4","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"JP5","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"JP6","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"JP7","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"JP8","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"JP9","Select CS","lib_fp:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","0-0000000","0",""
"H1","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0",""
"H2","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0",""
"H3","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0",""
"H4","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_DIN965","~","0-0000000","0",""
"D1","PhotoDiode","lib_fp:PhotoDiode","","1-0000431","1",""
"D2","PhotoDiode","lib_fp:PhotoDiode","","1-0000431","1",""
"TP1","TestPoint","lib_fp:5006_TestPoint","~","1-0000425","1",""
"TP2","TestPoint","lib_fp:5006_TestPoint","~","1-0000425","1",""
"TP3","TestPoint","lib_fp:5006_TestPoint","~","1-0000425","1",""
"TP4","TestPoint","lib_fp:5006_TestPoint","~","1-0000425","1",""
"FID1","Fiducial","Fiducial:Fiducial_1mm_Mask3mm","~","0-0000000","0",""
"FID2","Fiducial","Fiducial:Fiducial_1mm_Mask3mm","~","0-0000000","0",""
"J2","Female Input Connector","lib_fp:SAMTEC-SSW-111-02-X-D-RA","~","1-0000428","1",""
"J1","Male Output Connector","Pin_Headers:Pin_Header_Angled_2x11_Pitch2.54mm","~","1-0000427","1",""
"U1","1-0001027","amplifiers:1-0001027","","1-0001027","1","LM358AM/NOPB"
"U2","1-0001028","adcs:1-0001028","","1-0001028","1","MCP3202T-BI/SN"
"RV1","1-0001029","resistors_variable:1-0001029","","1-0001029","1","100k"
"RV2","1-0001029","resistors_variable:1-0001029","","1-0001029","1","100k"
"C1","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"C5","1-0000007","capacitors_0603:1-0000007","~","1-0000007","1","0.1uF"
"C6","1-0000018","capacitors_0603:1-0000018","~","1-0000018","1","1uF"
"C2","1-0000018","capacitors_0603:1-0000018","~","1-0000018","1","1uF"
"C3","1-0001030","capacitors_0603:1-0001030","~","1-0001030","1","1pF"
"C4","1-0001030","capacitors_0603:1-0001030","~","1-0001030","1","1pF"
"PCB1","barepcb","misc:barepcb","","3-0000125","1","Bare PCB"
